FECHA;PROVINCIA;AMBITO;CATEGORIA;TEST_REALIZADOS;TEST_POSITIVO;AISLAMIENTO;ALTA;codigo_ine
2020-04-24;Salamanca;Todos;Fisioterapeuta;6;4;1;3;37274
2020-04-24;Salamanca;Todos;Otros;4;2;2;0;37274
2020-04-24;Salamanca;Todos;Técnicos sanitarios;39;17;9;8;37274
2020-04-24;Segovia;Todos;Otros sanitarios;2;1;1;0;40004
2020-04-24;Segovia;Todos;Personal en formación;28;11;2;9;40004
2020-04-24;Soria;Todos;Auxiliares sanitarios;85;24;11;13;42173
2020-04-24;Soria;Todos;Enfermero/a;192;70;29;41;42173
2020-04-24;Soria;Todos;Servicios de apoyo no sanitario;13;3;2;1;42173
2020-04-24;Valladolid;Todos;Administrativo;230;26;12;14;47186
2020-04-24;Valladolid;Todos;Celador;102;18;13;5;47186
2020-04-24;Valladolid;Todos;Fisioterapeuta;39;4;3;1;47186
2020-04-24;Zamora;Todos;Celador;31;3;1;2;49275
2020-04-24;Zamora;Todos;Fisioterapeuta;7;1;1;0;49275
2020-04-24;Zamora;Todos;Médicos;150;20;6;14;49275
2020-04-25;Ávila;Todos;Administrativo;27;16;12;4;5019
2020-04-25;Ávila;Todos;Médicos;206;69;43;26;5019
2020-04-25;Ávila;Todos;Otros;1;1;0;1;5019
2020-04-25;Burgos;Todos;Celador;74;14;5;9;9059
2020-04-25;Burgos;Todos;Otros;8;2;1;1;9059
2020-04-25;Burgos;Todos;Técnicos sanitarios;38;4;0;4;9059
2020-04-25;León;Todos;Auxiliares sanitarios;320;55;24;31;24089
2020-04-25;León;Todos;Celador;173;19;8;11;24089
2020-04-25;León;Todos;Fisioterapeuta;16;2;0;2;24089
2020-04-25;León;Todos;Otros sanitarios;24;3;0;3;24089
2020-04-25;León;Todos;Técnicos sanitarios;49;7;2;5;24089
2020-04-25;Palencia;Todos;Auxiliares sanitarios;62;15;10;5;34120
2020-04-25;Palencia;Todos;Personal en formación;18;6;1;5;34120
2020-04-25;Salamanca;Todos;Administrativo;57;21;10;11;37274
2020-04-25;Salamanca;Todos;Celador;67;25;12;13;37274
2020-04-25;Salamanca;Todos;Médicos;366;127;41;86;37274
2020-04-25;Salamanca;Todos;Personal en formación;86;29;15;14;37274
2020-04-25;Salamanca;Todos;Servicios de apoyo no sanitario;35;15;7;8;37274
2020-04-25;Segovia;Todos;Auxiliares sanitarios;138;48;19;29;40004
2020-04-25;Segovia;Todos;Celador;54;21;10;11;40004
2020-04-25;Segovia;Todos;Otros sanitarios;2;1;1;0;40004
2020-04-25;Segovia;Todos;Personal en formación;28;11;2;9;40004
2020-04-25;Soria;Todos;Administrativo;46;17;7;10;42173
2020-04-25;Soria;Todos;Fisioterapeuta;6;1;0;1;42173
2020-04-25;Soria;Todos;Otros sanitarios;6;3;2;1;42173
2020-04-25;Soria;Todos;Servicios de apoyo no sanitario;15;3;1;2;42173
2020-04-25;Valladolid;Todos;Auxiliares sanitarios;283;53;35;18;47186
2020-04-25;Valladolid;Todos;Fisioterapeuta;39;4;3;1;47186
2020-04-25;Valladolid;Todos;Médicos;826;113;36;77;47186
2020-04-25;Valladolid;Todos;Personal en formación;194;27;8;19;47186
2020-04-25;Zamora;Todos;Auxiliares sanitarios;69;6;5;1;49275
2020-04-25;Zamora;Todos;Celador;31;3;1;2;49275
2020-04-25;Zamora;Todos;Fisioterapeuta;7;1;1;0;49275
2020-04-25;Zamora;Todos;Otros;0;0;0;0;49275
2020-04-26;Ávila;Todos;Fisioterapeuta;7;0;0;0;5019
2020-04-26;Ávila;Todos;Médicos;216;69;43;26;5019
2020-04-26;Ávila;Todos;Otros sanitarios;10;5;5;0;5019
2020-04-26;Ávila;Todos;Personal en formación;20;4;2;2;5019
2020-04-26;Burgos;Todos;Auxiliares sanitarios;236;44;22;22;9059
2020-04-26;Burgos;Todos;Enfermero/a;568;76;28;48;9059
2020-04-26;Burgos;Todos;Médicos;440;59;22;37;9059
2020-04-26;Burgos;Todos;Personal en formación;42;4;0;4;9059
2020-04-26;Burgos;Todos;Servicios de apoyo no sanitario;19;3;2;1;9059
2020-04-26;Burgos;Todos;Técnicos sanitarios;38;4;0;4;9059
2020-04-26;León;Todos;Auxiliares sanitarios;320;55;24;31;24089
2020-04-26;León;Todos;Personal en formación;115;16;5;11;24089
2020-04-26;León;Todos;Servicios de apoyo no sanitario;17;3;1;2;24089
2020-04-26;Palencia;Todos;Auxiliares sanitarios;67;18;12;6;34120
2020-04-26;Palencia;Todos;Enfermero/a;189;42;26;16;34120
2020-04-26;Palencia;Todos;Otros;4;1;1;0;34120
2020-04-26;Palencia;Todos;Personal en formación;18;6;1;5;34120
2020-04-26;Salamanca;Todos;Otros sanitarios;8;4;3;1;37274
2020-04-26;Salamanca;Todos;Servicios de apoyo no sanitario;35;14;6;8;37274
2020-04-26;Segovia;Todos;Administrativo;56;18;7;11;40004
2020-04-26;Segovia;Todos;Enfermero/a;295;124;22;102;40004
2020-04-26;Segovia;Todos;Otros sanitarios;2;1;1;0;40004
2020-04-26;Segovia;Todos;Personal en formación;28;11;2;9;40004
2020-04-26;Segovia;Todos;Servicios de apoyo no sanitario;20;9;1;8;40004
2020-04-26;Soria;Todos;Administrativo;46;17;6;11;42173
2020-04-26;Soria;Todos;Auxiliares sanitarios;86;25;12;13;42173
2020-04-26;Soria;Todos;Enfermero/a;197;72;27;45;42173
2020-04-26;Soria;Todos;Fisioterapeuta;6;1;0;1;42173
2020-04-26;Soria;Todos;Otros sanitarios;6;3;2;1;42173
2020-04-26;Valladolid;Todos;Administrativo;237;26;11;15;47186
2020-04-26;Valladolid;Todos;Personal en formación;196;27;8;19;47186
2020-04-26;Zamora;Todos;Enfermero/a;145;21;14;7;49275
2020-04-26;Zamora;Todos;Otros;0;0;0;0;49275
2020-04-26;Zamora;Todos;Otros sanitarios;3;1;0;1;49275
2020-04-27;Ávila;Todos;Otros sanitarios;10;6;6;0;5019
2020-04-27;Ávila;Todos;Personal en formación;28;4;2;2;5019
2020-04-27;Burgos;Todos;Fisioterapeuta;20;2;1;1;9059
2020-04-27;Burgos;Todos;Médicos;457;59;21;38;9059
2020-04-27;León;Todos;Celador;215;20;9;11;24089
2020-04-27;León;Todos;Técnicos sanitarios;56;8;3;5;24089
2020-04-27;Palencia;Todos;Administrativo;59;5;3;2;34120
2020-04-27;Palencia;Todos;Auxiliares sanitarios;68;18;12;6;34120
2020-04-27;Palencia;Todos;Médicos;165;28;10;18;34120
2020-04-27;Palencia;Todos;Otros;4;1;1;0;34120
2020-04-27;Palencia;Todos;Otros sanitarios;7;1;0;1;34120
2020-04-27;Salamanca;Todos;Administrativo;58;22;11;11;37274
2020-04-27;Salamanca;Todos;Enfermero/a;440;124;51;73;37274
2020-04-27;Salamanca;Todos;Fisioterapeuta;6;4;1;3;37274
2020-04-27;Salamanca;Todos;Médicos;368;128;40;88;37274
2020-04-27;Salamanca;Todos;Otros sanitarios;8;4;3;1;37274
2020-04-27;Segovia;Todos;Celador;54;21;9;12;40004
2020-04-27;Soria;Todos;Celador;66;13;3;10;42173
2020-04-27;Soria;Todos;Servicios de apoyo no sanitario;17;4;2;2;42173
2020-04-27;Valladolid;Todos;Fisioterapeuta;39;4;2;2;47186
2020-04-27;Valladolid;Todos;Médicos;842;116;34;82;47186
2020-04-27;Valladolid;Todos;Otros;4;0;0;0;47186
2020-04-27;Valladolid;Todos;Técnicos sanitarios;84;10;5;5;47186
2020-04-27;Zamora;Todos;Celador;41;3;1;2;49275
2020-04-27;Zamora;Todos;Enfermero/a;171;25;17;8;49275
2020-04-27;Zamora;Todos;Personal en formación;15;1;1;0;49275
2020-04-28;Ávila;Todos;Administrativo;43;17;13;4;5019
2020-04-28;Ávila;Todos;Celador;97;11;10;1;5019
2020-04-28;Ávila;Todos;Enfermero/a;390;84;61;23;5019
2020-04-28;Ávila;Todos;Fisioterapeuta;13;0;0;0;5019
2020-04-28;Ávila;Todos;Técnicos sanitarios;26;7;6;1;5019
2020-04-28;Burgos;Todos;Administrativo;121;9;3;6;9059
2020-04-28;Burgos;Todos;Médicos;475;59;20;39;9059
2020-04-28;Burgos;Todos;Otros sanitarios;18;0;0;0;9059
2020-04-28;Burgos;Todos;Personal en formación;52;5;1;4;9059
2020-04-28;León;Todos;Celador;222;20;9;11;24089
2020-04-28;León;Todos;Enfermero/a;943;144;58;86;24089
2020-04-28;León;Todos;Otros;6;0;0;0;24089
2020-04-28;León;Todos;Personal en formación;128;16;4;12;24089
2020-04-28;Palencia;Todos;Auxiliares sanitarios;68;18;11;7;34120
2020-04-28;Palencia;Todos;Enfermero/a;189;43;24;19;34120
2020-04-28;Palencia;Todos;Médicos;167;29;10;19;34120
2020-04-28;Palencia;Todos;Personal en formación;18;6;0;6;34120
2020-04-28;Palencia;Todos;Servicios de apoyo no sanitario;14;3;1;2;34120
2020-04-28;Palencia;Todos;Técnicos sanitarios;9;3;2;1;34120
2020-04-28;Salamanca;Todos;Médicos;371;127;40;87;37274
2020-04-28;Salamanca;Todos;Personal en formación;88;29;14;15;37274
2020-04-28;Segovia;Todos;Celador;67;25;12;13;40004
2020-04-28;Segovia;Todos;Enfermero/a;338;129;24;105;40004
2020-04-28;Segovia;Todos;Médicos;244;82;17;65;40004
2020-04-28;Segovia;Todos;Otros sanitarios;4;2;1;1;40004
2020-04-28;Segovia;Todos;Servicios de apoyo no sanitario;21;9;1;8;40004
2020-04-28;Valladolid;Todos;Auxiliares sanitarios;307;54;29;25;47186
2020-04-28;Valladolid;Todos;Otros;4;0;0;0;47186
2020-04-28;Valladolid;Todos;Otros sanitarios;22;4;0;4;47186
2020-04-28;Valladolid;Todos;Personal en formación;200;26;7;19;47186
2020-04-28;Valladolid;Todos;Servicios de apoyo no sanitario;47;8;3;5;47186
2020-04-28;Zamora;Todos;Auxiliares sanitarios;109;6;5;1;49275
2020-04-28;Zamora;Todos;Celador;47;3;1;2;49275
2020-04-28;Zamora;Todos;Médicos;186;18;5;13;49275
2020-04-28;Zamora;Todos;Otros sanitarios;3;1;0;1;49275
2020-04-29;Ávila;Todos;Enfermero/a;432;88;65;23;5019
2020-04-29;Ávila;Todos;Fisioterapeuta;14;0;0;0;5019
2020-04-29;Ávila;Todos;Médicos;320;79;51;28;5019
2020-04-29;Burgos;Todos;Administrativo;122;9;3;6;9059
2020-04-29;Burgos;Todos;Enfermero/a;707;85;34;51;9059
2020-04-29;Burgos;Todos;Personal en formación;71;8;1;7;9059
2020-04-29;Burgos;Todos;Técnicos sanitarios;54;4;0;4;9059
2020-04-29;León;Todos;Administrativo;152;14;5;9;24089
2020-04-29;León;Todos;Enfermero/a;1029;146;57;89;24089
2020-04-29;León;Todos;Médicos;729;94;24;70;24089
2020-04-29;León;Todos;Otros sanitarios;28;3;0;3;24089
2020-04-29;León;Todos;Técnicos sanitarios;63;8;2;6;24089
2020-04-29;Palencia;Todos;Administrativo;59;5;3;2;34120
2020-04-29;Palencia;Todos;Fisioterapeuta;6;1;1;0;34120
2020-04-29;Palencia;Todos;Otros sanitarios;7;1;0;1;34120
2020-04-29;Palencia;Todos;Personal en formación;18;6;0;6;34120
2020-04-29;Salamanca;Todos;Fisioterapeuta;11;4;1;3;37274
2020-04-29;Salamanca;Todos;Médicos;495;135;45;90;37274
2020-04-29;Segovia;Todos;Administrativo;77;19;3;16;40004
2020-04-29;Segovia;Todos;Enfermero/a;395;135;35;100;40004
2020-04-29;Soria;Todos;Administrativo;63;18;5;13;42173
2020-04-29;Soria;Todos;Celador;79;14;3;11;42173
2020-04-29;Soria;Todos;Fisioterapeuta;8;1;0;1;42173
2020-04-29;Valladolid;Todos;Fisioterapeuta;40;4;2;2;47186
2020-04-29;Valladolid;Todos;Otros sanitarios;23;4;0;4;47186
2020-04-29;Valladolid;Todos;Técnicos sanitarios;91;11;4;7;47186
2020-04-29;Zamora;Todos;Enfermero/a;226;25;15;10;49275
2020-04-30;Ávila;Todos;Celador;106;13;10;3;5019
2020-04-30;Ávila;Todos;Otros;0;0;0;0;5019
2020-04-30;Ávila;Todos;Otros sanitarios;15;6;5;1;5019
2020-04-30;Ávila;Todos;Personal en formación;36;4;1;3;5019
2020-04-30;Burgos;Todos;Enfermero/a;746;85;33;52;9059
2020-04-30;Burgos;Todos;Médicos;528;62;21;41;9059
2020-04-30;Burgos;Todos;Otros sanitarios;19;0;0;0;9059
2020-04-30;Burgos;Todos;Personal en formación;84;8;1;7;9059
2020-04-30;Burgos;Todos;Técnicos sanitarios;58;4;0;4;9059
2020-04-30;León;Todos;Celador;235;20;9;11;24089
2020-05-04;León;Todos;Otros sanitarios;29;3;0;3;24089
2020-05-04;León;Todos;Personal en formación;150;17;3;14;24089
2020-05-04;León;Todos;Servicios de apoyo no sanitario;21;3;1;2;24089
2020-05-04;León;Todos;Técnicos sanitarios;67;8;3;5;24089
2020-05-04;Palencia;Todos;Celador;34;12;2;10;34120
2020-05-04;Palencia;Todos;Técnicos sanitarios;10;3;1;2;34120
2020-05-04;Segovia;Todos;Administrativo;96;20;8;12;40004
2020-05-04;Segovia;Todos;Celador;118;33;17;16;40004
2020-05-04;Segovia;Todos;Enfermero/a;477;156;44;112;40004
2020-05-04;Segovia;Todos;Personal en formación;53;18;6;12;40004
2020-05-04;Valladolid;Todos;Personal en formación;198;23;4;19;47186
2020-05-04;Valladolid;Todos;Servicios de apoyo no sanitario;51;8;4;4;47186
2020-05-04;Valladolid;Todos;Técnicos sanitarios;97;11;4;7;47186
2020-05-05;Ávila;Todos;Celador;109;13;10;3;5019
2020-05-05;Ávila;Todos;Personal en formación;36;4;1;3;5019
2020-05-05;Burgos;Todos;Personal en formación;91;8;1;7;9059
2020-05-05;León;Todos;Administrativo;157;15;5;10;24089
2020-05-05;León;Todos;Técnicos sanitarios;64;7;3;4;24089
2020-05-05;Palencia;Todos;Administrativo;63;5;1;4;34120
2020-05-05;Palencia;Todos;Enfermero/a;206;44;10;34;34120
2020-05-05;Palencia;Todos;Otros sanitarios;7;1;0;1;34120
2020-05-05;Palencia;Todos;Técnicos sanitarios;11;3;1;2;34120
2020-05-05;Salamanca;Todos;Auxiliares sanitarios;257;87;29;58;37274
2020-05-05;Salamanca;Todos;Celador;93;25;6;19;37274
2020-05-05;Salamanca;Todos;Enfermero/a;724;143;49;94;37274
2020-05-05;Salamanca;Todos;Fisioterapeuta;23;6;3;3;37274
2020-05-05;Salamanca;Todos;Médicos;632;145;49;96;37274
2020-05-05;Salamanca;Todos;Otros;4;3;2;1;37274
2020-05-05;Salamanca;Todos;Servicios de apoyo no sanitario;40;14;2;12;37274
2020-05-05;Segovia;Todos;Celador;130;35;15;20;40004
2020-05-05;Segovia;Todos;Fisioterapeuta;8;2;1;1;40004
2020-05-05;Segovia;Todos;Personal en formación;59;18;5;13;40004
2020-05-05;Segovia;Todos;Servicios de apoyo no sanitario;26;9;0;9;40004
2020-05-05;Segovia;Todos;Técnicos sanitarios;41;13;3;10;40004
2020-05-05;Soria;Todos;Auxiliares sanitarios;180;40;15;25;42173
2020-05-05;Soria;Todos;Médicos;247;68;21;47;42173
2020-05-05;Soria;Todos;Personal en formación;27;2;1;1;42173
2020-05-05;Valladolid;Todos;Administrativo;260;27;11;16;47186
2020-05-05;Valladolid;Todos;Celador;121;23;9;14;47186
2020-05-05;Valladolid;Todos;Fisioterapeuta;43;4;1;3;47186
2020-05-05;Valladolid;Todos;Otros sanitarios;24;4;1;3;47186
2020-05-05;Zamora;Todos;Celador;56;4;1;3;49275
2020-05-05;Zamora;Todos;Fisioterapeuta;14;1;1;0;49275
2020-05-05;Zamora;Todos;Médicos;281;22;11;11;49275
2020-05-05;Zamora;Todos;Otros;0;0;0;0;49275
