fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2020-04-15;Palencia;648;3;195;53;34120;42.432128,-4.520647
2020-04-15;Valladolid;2836;164;943;223;47186;41.583333,-4.666667
2020-04-16;Soria;1132;37;278;91;42173;41.666667,-2.666667
2020-04-17;Burgos;1450;44;606;159;9059;42.383333,-3.666667
2020-04-17;León;2212;93;998;287;24089;42.666667,-6.0
2020-04-17;Salamanca;2437;58;733;273;37274;40.833333,-6.0
2020-04-18;Burgos;1522;72;620;160;9059;42.383333,-3.666667
2020-04-18;Zamora;595;23;210;63;49275;41.75,-6.0
2020-04-19;Salamanca;2584;70;781;282;37274;40.833333,-6.0
2020-04-19;Soria;1237;6;298;95;42173;41.666667,-2.666667
2020-04-20;Burgos;1567;17;642;168;9059;42.383333,-3.666667
2020-04-20;Salamanca;2602;18;794;287;37274;40.833333,-6.0
2020-04-20;Zamora;611;13;219;65;49275;41.75,-6.0
2020-04-21;Valladolid;3198;44;1110;268;47186;41.583333,-4.666667
2020-04-22;Ávila;1261;58;490;114;5019;40.616092,-4.929031
2020-04-22;Valladolid;3290;92;1135;270;47186;41.583333,-4.666667
2020-04-22;Zamora;626;9;233;67;49275;41.75,-6.0
2020-04-23;Burgos;1660;45;692;172;9059;42.383333,-3.666667
2020-04-23;León;2640;108;1199;330;24089;42.666667,-6.0
2020-04-24;León;2707;67;1212;333;24089;42.666667,-6.0
2020-04-24;Valladolid;3477;55;1177;284;47186;41.583333,-4.666667
2020-04-25;Ávila;1378;37;528;121;5019;40.616092,-4.929031
2020-04-25;Segovia;2690;25;730;186;40004;41.166667,-4.0
2020-04-25;Valladolid;3580;103;1220;290;47186;41.583333,-4.666667
2020-04-26;Ávila;1433;55;529;121;5019;40.616092,-4.929031
2020-04-26;Burgos;1722;15;731;180;9059;42.383333,-3.666667
2020-04-26;León;2903;70;1269;344;24089;42.666667,-6.0
2020-04-26;Palencia;944;63;260;71;34120;42.432128,-4.520647
2020-04-26;Salamanca;3045;69;931;312;37274;40.833333,-6.0
2020-04-27;Soria;1638;66;328;107;42173;41.666667,-2.666667
2020-04-27;Valladolid;3724;49;1231;299;47186;41.583333,-4.666667
2020-04-27;Zamora;673;3;265;75;49275;41.75,-6.0
2020-04-28;Ávila;1543;46;537;125;5019;40.616092,-4.929031
2020-04-28;Palencia;1021;41;271;73;34120;42.432128,-4.520647
2020-04-28;Soria;1656;18;334;109;42173;41.666667,-2.666667
2020-04-28;Valladolid;3759;35;1255;305;47186;41.583333,-4.666667
2020-04-28;Zamora;673;0;271;75;49275;41.75,-6.0
2020-04-29;Burgos;1956;149;767;188;9059;42.383333,-3.666667
2020-04-29;León;3004;41;1347;357;24089;42.666667,-6.0
2020-04-29;Salamanca;3244;72;986;319;37274;40.833333,-6.0
2020-04-29;Segovia;2830;52;761;195;40004;41.166667,-4.0
2020-04-29;Soria;1684;28;340;110;42173;41.666667,-2.666667
2020-04-30;Ávila;1609;21;554;127;5019;40.616092,-4.929031
2020-04-30;Soria;1712;28;346;110;42173;41.666667,-2.666667
2020-05-01;Ávila;1647;38;563;128;5019;40.616092,-4.929031
2020-05-01;Burgos;2277;168;797;195;9059;42.383333,-3.666667
2020-05-01;León;3100;37;1390;363;24089;42.666667,-6.0
2020-05-01;Palencia;1067;11;289;74;34120;42.432128,-4.520647
2020-05-01;Valladolid;3903;28;1338;318;47186;41.583333,-4.666667
2020-05-02;Ávila;1677;30;570;129;5019;40.616092,-4.929031
2020-05-02;Burgos;2306;29;804;197;9059;42.383333,-3.666667
2020-05-02;Palencia;1071;4;290;74;34120;42.432128,-4.520647
2020-05-02;Segovia;2971;26;788;195;40004;41.166667,-4.0
2020-05-03;Burgos;2331;25;807;197;9059;42.383333,-3.666667
2020-05-03;Salamanca;3408;46;1040;334;37274;40.833333,-6.0
2020-05-03;Valladolid;3949;47;1350;326;47186;41.583333,-4.666667
2020-05-03;Zamora;753;2;285;78;49275;41.75,-6.0
2020-05-04;Salamanca;3427;19;1050;335;37274;40.833333,-6.0
2020-05-04;Segovia;3005;19;797;195;40004;41.166667,-4.0
2020-05-05;León;3202;32;1444;382;24089;42.666667,-6.0
2020-05-05;Salamanca;3485;58;1064;338;37274;40.833333,-6.0
2020-05-05;Soria;1918;39;360;115;42173;41.666667,-2.666667
2020-05-05;Zamora;757;4;288;78;49275;41.75,-6.0
2020-05-06;Ávila;1777;25;585;129;5019;40.616092,-4.929031
2020-05-06;Palencia;1113;18;302;76;34120;42.432128,-4.520647
2020-05-06;Segovia;3121;58;813;195;40004;41.166667,-4.0
2020-05-06;Soria;2005;87;365;116;42173;41.666667,-2.666667
2020-05-06;Valladolid;4071;68;1410;339;47186;41.583333,-4.666667
2020-05-06;Zamora;768;11;299;81;49275;41.75,-6.0
2020-05-07;Ávila;1793;16;593;131;5019;40.616092,-4.929031
2020-05-07;Burgos;2526;76;844;202;9059;42.383333,-3.666667
2020-05-07;Palencia;1119;6;303;77;34120;42.432128,-4.520647
2020-05-07;Soria;2074;69;367;116;42173;41.666667,-2.666667
2020-05-07;Zamora;792;24;300;81;49275;41.75,-6.0
2020-05-08;Salamanca;3792;112;1102;344;37274;40.833333,-6.0
2020-05-09;León;3420;91;1528;392;24089;42.666667,-6.0
2020-05-10;Salamanca;4012;66;1124;347;37274;40.833333,-6.0
2020-05-10;Valladolid;4242;34;1487;347;47186;41.583333,-4.666667
2020-05-10;Zamora;829;17;306;82;49275;41.75,-6.0
2020-05-11;Burgos;2630;3;867;205;9059;42.383333,-3.666667
2020-05-11;León;3510;27;1538;397;24089;42.666667,-6.0
2020-05-11;Salamanca;4108;96;1129;349;37274;40.833333,-6.0
2020-05-11;Valladolid;4251;9;1496;351;47186;41.583333,-4.666667
2020-05-12;León;3512;2;1551;398;24089;42.666667,-6.0
2020-05-12;Salamanca;4115;7;1146;351;37274;40.833333,-6.0
2020-05-12;Zamora;864;28;309;83;49275;41.75,-6.0
2020-05-13;Palencia;1176;4;322;80;34120;42.432128,-4.520647
2020-05-13;Segovia;3379;8;850;200;40004;41.166667,-4.0
2020-05-14;Burgos;2721;8;891;205;9059;42.383333,-3.666667
2020-05-14;Palencia;1185;9;324;80;34120;42.432128,-4.520647
2020-05-14;Zamora;927;47;317;85;49275;41.75,-6.0
2020-05-15;Ávila;1917;17;618;133;5019;40.616092,-4.929031
2020-05-15;Zamora;957;30;319;85;49275;41.75,-6.0
2020-05-16;Burgos;2734;4;900;205;9059;42.383333,-3.666667
2020-05-16;Segovia;3408;4;868;201;40004;41.166667,-4.0
2020-05-16;Valladolid;4370;22;1572;360;47186;41.583333,-4.666667
2020-05-17;Palencia;1205;0;333;83;34120;42.432128,-4.520647
2020-05-18;Ávila;1945;10;623;133;5019;40.616092,-4.929031
2020-05-18;Salamanca;4156;4;1181;358;37274;40.833333,-6.0
2020-05-18;Soria;2292;2;397;119;42173;41.666667,-2.666667
2020-05-19;Salamanca;4156;1;1187;358;37274;40.833333,-6.0
2020-05-20;Burgos;2770;1;916;206;9059;42.383333,-3.666667
2020-05-21;Valladolid;4497;13;1622;371;47186;41.583333,-4.666667
2020-05-22;Ávila;1970;0;634;134;5019;40.616092,-4.929031
2020-05-22;Palencia;1256;3;338;83;34120;42.432128,-4.520647
2020-05-22;Segovia;3454;5;881;202;40004;41.166667,-4.0
2020-05-22;Zamora;1000;1;329;85;49275;41.75,-6.0
2020-05-23;Ávila;1982;6;637;135;5019;40.616092,-4.929031
2020-05-23;Burgos;2829;16;925;207;9059;42.383333,-3.666667
2020-05-23;León;3626;7;1681;416;24089;42.666667,-6.0
2020-05-23;Palencia;1265;9;339;83;34120;42.432128,-4.520647
2020-05-23;Segovia;3461;6;884;202;40004;41.166667,-4.0
2020-05-23;Soria;2313;4;402;119;42173;41.666667,-2.666667
2020-05-24;León;3627;1;1683;417;24089;42.666667,-6.0
2020-05-24;Palencia;1265;0;339;83;34120;42.432128,-4.520647
2020-05-24;Salamanca;4208;19;1211;361;37274;40.833333,-6.0
2020-05-24;Soria;2313;0;402;119;42173;41.666667,-2.666667
2020-05-24;Valladolid;4541;23;1645;373;47186;41.583333,-4.666667
2020-05-24;Zamora;1002;1;333;85;49275;41.75,-6.0
2020-05-25;Ávila;1992;1;638;136;5019;40.616092,-4.929031
2020-05-25;Salamanca;4230;20;1211;361;37274;40.833333,-6.0
2020-05-25;Segovia;3463;1;885;203;40004;41.166667,-4.0
2020-05-25;Zamora;1002;0;333;85;49275;41.75,-6.0
2020-05-26;Burgos;2848;8;931;208;9059;42.383333,-3.666667
2020-05-26;Palencia;1270;2;342;84;34120;42.432128,-4.520647
2020-05-26;Valladolid;4548;7;1651;374;47186;41.583333,-4.666667
2020-05-27;Soria;2325;2;405;119;42173;41.666667,-2.666667
2020-05-27;Zamora;1004;1;340;88;49275;41.75,-6.0
2020-05-28;Salamanca;4245;13;1227;363;37274;40.833333,-6.0
2020-05-28;Segovia;3474;5;894;203;40004;41.166667,-4.0
2020-05-29;Palencia;1285;10;348;84;34120;42.432128,-4.520647
2020-05-29;Valladolid;4580;7;1672;376;47186;41.583333,-4.666667
2020-05-30;Ávila;2017;6;647;137;5019;40.616092,-4.929031
2020-05-30;Burgos;2882;11;944;210;9059;42.383333,-3.666667
2020-05-30;Palencia;1290;5;350;84;34120;42.432128,-4.520647
2020-05-30;Salamanca;4273;14;1235;363;37274;40.833333,-6.0
2020-05-30;Zamora;1007;1;341;89;49275;41.75,-6.0
2020-05-31;Burgos;2891;9;945;210;9059;42.383333,-3.666667
2020-05-31;Salamanca;4281;7;1236;363;37274;40.833333,-6.0
2020-05-31;Segovia;3482;0;895;204;40004;41.166667,-4.0
2020-05-31;Valladolid;4611;19;1688;377;47186;41.583333,-4.666667
2020-06-01;Burgos;2897;6;945;210;9059;42.383333,-3.666667
2020-06-01;Palencia;1298;2;350;84;34120;42.432128,-4.520647
2020-06-01;Soria;2362;8;405;119;42173;41.666667,-2.666667
2020-06-02;Burgos;2898;1;946;210;9059;42.383333,-3.666667
2020-06-02;Salamanca;4300;11;1239;363;37274;40.833333,-6.0
2020-06-02;Segovia;3485;3;898;205;40004;41.166667,-4.0
2020-06-02;Soria;2362;0;408;119;42173;41.666667,-2.666667
2020-06-02;Valladolid;4613;1;1695;379;47186;41.583333,-4.666667
2020-06-03;León;3652;2;1725;422;24089;42.666667,-6.0
2020-06-04;Burgos;2918;15;948;211;9059;42.383333,-3.666667
2020-06-04;Palencia;1304;4;352;84;34120;42.432128,-4.520647
2020-06-04;Salamanca;4320;13;1247;365;37274;40.833333,-6.0
2020-06-05;Salamanca;4330;10;1249;366;37274;40.833333,-6.0
2020-06-05;Soria;2379;6;414;120;42173;41.666667,-2.666667
2020-06-06;Burgos;2932;7;951;211;9059;42.383333,-3.666667
2020-06-06;Soria;2386;7;415;120;42173;41.666667,-2.666667
2020-06-07;Ávila;2063;9;653;140;5019;40.616092,-4.929031
2020-06-07;León;3662;6;1732;423;24089;42.666667,-6.0
2020-06-07;Segovia;3499;8;906;205;40004;41.166667,-4.0
2020-06-08;León;3662;0;1732;423;24089;42.666667,-6.0
2020-06-08;Palencia;1323;1;355;85;34120;42.432128,-4.520647
2020-06-08;Valladolid;4656;2;1728;383;47186;41.583333,-4.666667
2020-06-08;Zamora;1016;0;349;92;49275;41.75,-6.0
2020-06-09;Ávila;2067;1;653;140;5019;40.616092,-4.929031
2020-06-09;Palencia;1323;0;358;86;34120;42.432128,-4.520647
2020-06-09;Segovia;3502;0;907;205;40004;41.166667,-4.0
2020-06-09;Zamora;1018;2;349;92;49275;41.75,-6.0
2020-06-10;Ávila;2069;2;654;140;5019;40.616092,-4.929031
2020-06-10;Palencia;1324;1;358;86;34120;42.432128,-4.520647
2020-06-10;Salamanca;4379;11;1260;368;37274;40.833333,-6.0
2020-06-10;Segovia;3504;2;907;205;40004;41.166667,-4.0
2020-06-10;Soria;2397;1;417;120;42173;41.666667,-2.666667
2020-06-11;Burgos;2953;5;955;214;9059;42.383333,-3.666667
2020-06-12;Burgos;2956;3;956;215;9059;42.383333,-3.666667
2020-06-12;León;3681;4;1739;423;24089;42.666667,-6.0
2020-06-12;Segovia;3509;3;907;205;40004;41.166667,-4.0
2020-06-12;Soria;2418;14;419;121;42173;41.666667,-2.666667
2020-06-15;Ávila;2075;2;659;141;5019;40.616092,-4.929031
2020-06-15;Zamora;1023;0;349;92;49275;41.75,-6.0
2020-06-16;Ávila;2075;0;661;141;5019;40.616092,-4.929031
2020-06-16;Burgos;2959;0;958;215;9059;42.383333,-3.666667
2020-06-16;Segovia;3515;1;910;206;40004;41.166667,-4.0
2020-06-17;Ávila;2077;2;661;141;5019;40.616092,-4.929031
2020-06-17;Burgos;2959;0;960;215;9059;42.383333,-3.666667
2020-06-17;León;3691;0;1739;423;24089;42.666667,-6.0
2020-06-17;Valladolid;4713;30;1776;387;47186;41.583333,-4.666667
2020-06-18;Ávila;2081;4;661;141;5019;40.616092,-4.929031
2020-06-18;Palencia;1347;4;370;87;34120;42.432128,-4.520647
2020-06-18;Salamanca;4403;2;1269;370;37274;40.833333,-6.0
2020-06-18;Segovia;3519;3;912;206;40004;41.166667,-4.0
2020-06-18;Soria;2432;1;423;121;42173;41.666667,-2.666667
2020-03-15;Burgos;119;8;0;4;9059;42.383333,-3.666667
2020-03-16;Ávila;17;7;0;0;5019;40.616092,-4.929031
2020-03-16;Segovia;33;6;0;3;40004;41.166667,-4.0
2020-03-16;Valladolid;56;16;0;0;47186;41.583333,-4.666667
2020-03-13;Burgos;90;29;0;1;9059;42.383333,-3.666667
2020-03-13;Salamanca;11;5;1;1;37274;40.833333,-6.0
2020-03-13;Zamora;5;3;0;0;49275;41.75,-6.0
2020-03-17;León;75;28;2;3;24089;42.666667,-6.0
2020-03-17;Salamanca;65;33;4;6;37274;40.833333,-6.0
2020-03-18;Ávila;42;24;1;1;5019;40.616092,-4.929031
2020-03-18;León;106;31;3;4;24089;42.666667,-6.0
2020-03-18;Palencia;6;-1;1;0;34120;42.432128,-4.520647
2020-03-18;Segovia;76;43;3;6;40004;41.166667,-4.0
2020-03-19;Ávila;59;17;2;2;5019;40.616092,-4.929031
2020-03-19;Burgos;187;22;14;8;9059;42.383333,-3.666667
2020-03-19;Valladolid;115;33;1;3;47186;41.583333,-4.666667
2020-03-20;Salamanca;203;54;10;13;37274;40.833333,-6.0
2020-03-21;Burgos;269;61;27;14;9059;42.383333,-3.666667
2020-03-21;Segovia;157;1;9;13;40004;41.166667,-4.0
2020-03-22;Ávila;143;29;16;9;5019;40.616092,-4.929031
2020-03-22;Burgos;302;33;28;16;9059;42.383333,-3.666667
2020-03-22;León;233;32;10;14;24089;42.666667,-6.0
2020-03-22;Salamanca;315;50;20;21;37274;40.833333,-6.0
2020-03-22;Zamora;70;11;4;3;49275;41.75,-6.0
2020-03-23;Palencia;64;14;2;0;34120;42.432128,-4.520647
2020-03-23;Zamora;90;20;5;4;49275;41.75,-6.0
2020-03-24;Ávila;201;42;23;15;5019;40.616092,-4.929031
2020-03-24;Burgos;392;56;41;24;9059;42.383333,-3.666667
2020-03-24;Palencia;72;8;13;1;34120;42.432128,-4.520647
2020-03-24;Soria;179;39;14;13;42173;41.666667,-2.666667
2020-03-24;Zamora;100;10;11;7;49275;41.75,-6.0
2020-03-25;Ávila;226;25;36;21;5019;40.616092,-4.929031
2020-03-25;Soria;263;84;19;14;42173;41.666667,-2.666667
2020-03-25;Valladolid;501;91;36;21;47186;41.583333,-4.666667
2020-03-25;Zamora;103;3;16;8;49275;41.75,-6.0
2020-03-26;Ávila;270;44;53;27;5019;40.616092,-4.929031
2020-03-26;Soria;339;76;32;16;42173;41.666667,-2.666667
2020-03-26;Zamora;106;3;24;9;49275;41.75,-6.0
2020-03-27;Ávila;342;72;63;33;5019;40.616092,-4.929031
2020-03-27;Segovia;424;63;92;44;40004;41.166667,-4.0
2020-03-28;León;726;98;99;67;24089;42.666667,-6.0
2020-03-28;Segovia;503;79;111;51;40004;41.166667,-4.0
2020-03-28;Zamora;168;44;27;16;49275;41.75,-6.0
2020-03-29;Palencia;262;42;28;13;34120;42.432128,-4.520647
2020-03-29;Segovia;567;64;131;58;40004;41.166667,-4.0
2020-03-29;Soria;523;92;61;30;42173;41.666667,-2.666667
2020-03-30;León;918;97;139;89;24089;42.666667,-6.0
2020-03-30;Valladolid;929;43;145;66;47186;41.583333,-4.666667
2020-03-31;Palencia;325;32;42;18;34120;42.432128,-4.520647
2020-03-31;Salamanca;1185;107;209;123;37274;40.833333,-6.0
2020-04-01;Ávila;512;45;132;59;5019;40.616092,-4.929031
2020-04-01;León;1007;43;216;108;24089;42.666667,-6.0
2020-04-01;Palencia;359;34;52;23;34120;42.432128,-4.520647
2020-04-01;Zamora;226;9;51;25;49275;41.75,-6.0
2020-04-02;Soria;686;27;95;46;42173;41.666667,-2.666667
2020-04-02;Zamora;278;52;61;28;49275;41.75,-6.0
2020-04-03;Ávila;590;30;170;66;5019;40.616092,-4.929031
2020-04-03;Burgos;940;45;296;92;9059;42.383333,-3.666667
2020-04-03;Salamanca;1489;76;301;167;37274;40.833333,-6.0
2020-04-03;Valladolid;1290;102;381;114;47186;41.583333,-4.666667
2020-04-04;León;1204;79;398;159;24089;42.666667,-6.0
2020-04-04;Palencia;452;25;104;31;34120;42.432128,-4.520647
2020-04-04;Valladolid;1352;62;439;125;47186;41.583333,-4.666667
2020-04-05;Ávila;679;41;214;73;5019;40.616092,-4.929031
2020-04-05;Burgos;985;21;343;103;9059;42.383333,-3.666667
2020-04-05;Palencia;472;20;111;36;34120;42.432128,-4.520647
2020-04-05;Zamora;339;16;93;37;49275;41.75,-6.0
2020-04-06;Burgos;1003;18;360;113;9059;42.383333,-3.666667
2020-04-06;Palencia;486;14;114;39;34120;42.432128,-4.520647
2020-04-06;Valladolid;1445;42;487;145;47186;41.583333,-4.666667
2020-04-06;Zamora;340;1;100;38;49275;41.75,-6.0
2020-04-07;Palencia;510;24;126;41;34120;42.432128,-4.520647
2020-04-07;Segovia;1349;97;387;115;40004;41.166667,-4.0
2020-04-07;Valladolid;1602;157;553;153;47186;41.583333,-4.666667
2020-04-08;León;1398;54;620;210;24089;42.666667,-6.0
2020-04-08;Zamora;360;18;119;43;49275;41.75,-6.0
2020-04-09;Ávila;825;32;297;90;5019;40.616092,-4.929031
2020-04-09;León;1455;57;666;218;24089;42.666667,-6.0
2020-04-09;Valladolid;1846;160;664;173;47186;41.583333,-4.666667
2020-04-10;Ávila;859;34;325;93;5019;40.616092,-4.929031
2020-04-10;Palencia;592;47;162;44;34120;42.432128,-4.520647
2020-04-10;Salamanca;2051;95;542;236;37274;40.833333,-6.0
2020-04-10;Segovia;1672;101;470;132;40004;41.166667,-4.0
2020-04-11;Burgos;1170;44;492;136;9059;42.383333,-3.666667
2020-04-11;Palencia;605;13;171;46;34120;42.432128,-4.520647
2020-04-11;Salamanca;2115;64;579;244;37274;40.833333,-6.0
2020-04-11;Valladolid;2123;138;804;195;47186;41.583333,-4.666667
2020-04-12;Ávila;917;20;350;94;5019;40.616092,-4.929031
2020-04-12;Burgos;1207;37;509;140;9059;42.383333,-3.666667
2020-04-12;León;1575;37;781;245;24089;42.666667,-6.0
2020-04-12;Palencia;620;15;174;48;34120;42.432128,-4.520647
2020-04-12;Zamora;414;6;155;51;49275;41.75,-6.0
2020-04-13;León;1679;104;811;255;24089;42.666667,-6.0
2020-04-13;Segovia;1913;68;530;151;40004;41.166667,-4.0
2020-04-14;Burgos;1257;25;548;148;9059;42.383333,-3.666667
2020-04-14;Segovia;1994;81;563;155;40004;41.166667,-4.0
2020-04-14;Valladolid;2672;180;896;216;47186;41.583333,-4.666667
2020-04-15;Ávila;987;21;402;104;5019;40.616092,-4.929031
2020-04-15;Burgos;1320;63;564;149;9059;42.383333,-3.666667
2020-04-15;León;1935;70;906;273;24089;42.666667,-6.0
2020-04-16;Palencia;654;6;201;54;34120;42.432128,-4.520647
2020-04-16;Salamanca;2379;88;709;269;37274;40.833333,-6.0
2020-04-16;Segovia;2191;88;599;159;40004;41.166667,-4.0
2020-04-17;Segovia;2252;61;622;161;40004;41.166667,-4.0
2020-04-17;Zamora;572;42;197;61;49275;41.75,-6.0
2020-04-18;Ávila;1090;15;446;107;5019;40.616092,-4.929031
2020-04-18;Segovia;2285;33;636;167;40004;41.166667,-4.0
2020-04-18;Soria;1231;52;293;94;42173;41.666667,-2.666667
2020-04-18;Valladolid;3098;31;1045;243;47186;41.583333,-4.666667
2020-04-19;León;2379;94;1060;297;24089;42.666667,-6.0
2020-04-19;Palencia;703;30;221;59;34120;42.432128,-4.520647
2020-04-19;Segovia;2328;43;647;169;40004;41.166667,-4.0
2020-04-19;Valladolid;3129;31;1061;255;47186;41.583333,-4.666667
2020-04-20;Ávila;1155;41;450;109;5019;40.616092,-4.929031
2020-04-20;Palencia;716;13;223;61;34120;42.432128,-4.520647
2020-04-20;Valladolid;3154;26;1070;260;47186;41.583333,-4.666667
