fecha;hospital;provincia;nuevos_hospitalizados_planta;hospitalizados_planta;nuevos_hospitalizados_uci;hospitalizados_uci;nuevas_altas;altas;nuevos_fallecimientos;fallecimientos;codigo_ine;posicion
2020-03-23;Complejo Asistencial Universitario de Palencia;Palencia;12;49;2;9;0;2;0;0;34120;42.432128,-4.520647
2020-03-23;Complejo Asistencial Universitario de Salamanca;Salamanca;39;182;2;15;2;22;3;24;37274;40.833333,-6.0
2020-03-23;Complejo Asistencial de Segovia;Segovia;5;72;2;10;10;24;3;23;40004;41.166667,-4.0
2020-03-23;Complejo Asistencial de Soria;Soria;4;37;0;7;0;8;3;11;42173;41.666667,-2.666667
2020-03-24;Hospital Santiago Apóstol;Burgos;7;15;0;0;3;11;0;2;9059;42.383333,-3.666667
2020-03-24;Hospital Santos Reyes;Burgos;6;28;0;0;0;0;2;4;9059;42.383333,-3.666667
2020-03-24;Complejo Asistencial Universitario de Palencia;Palencia;5;42;1;10;3;5;1;1;34120;42.432128,-4.520647
2020-03-24;Complejo Asistencial de Segovia;Segovia;12;81;2;12;8;32;4;27;40004;41.166667,-4.0
2020-03-24;Hospital Clínico Universitario de Valladolid;Valladolid;21;78;3;18;3;10;2;9;47186;41.583333,-4.666667
2020-03-24;Hospital Universitario Río Hortega;Valladolid;34;125;4;16;1;9;0;6;47186;41.583333,-4.666667
2020-03-24;Complejo Asistencial de Zamora;Zamora;6;49;0;10;6;11;3;6;49275;41.75,-6.0
2020-03-25;Complejo Asistencial Universitario de Burgos;Burgos;35;149;5;48;11;41;2;20;9059;42.383333,-3.666667
2020-03-25;Complejo Asistencial Universitario de León;León;61;225;2;21;10;30;7;31;24089;42.666667,-6.0
2020-03-25;Complejo Asistencial Universitario de Palencia;Palencia;13;56;2;14;6;11;2;3;34120;42.432128,-4.520647
2020-03-25;Complejo Asistencial de Soria;Soria;12;61;3;14;5;19;1;14;42173;41.666667,-2.666667
2020-03-25;Complejo Asistencial de Zamora;Zamora;0;49;0;10;5;16;2;8;49275;41.75,-6.0
2020-03-26;Complejo Asistencial de Ávila;Ávila;19;82;1;7;17;53;6;27;5019;40.616092,-4.929031
2020-03-26;Complejo Asistencial Universitario de León;León;58;241;4;25;16;46;13;44;24089;42.666667,-6.0
2020-03-26;Hospital de Medina del Campo;Valladolid;5;17;0;0;0;5;0;2;47186;41.583333,-4.666667
2020-03-26;Complejo Asistencial de Zamora;Zamora;9;50;2;11;8;24;1;9;49275;41.75,-6.0
2020-03-27;Complejo Asistencial Universitario de Palencia;Palencia;9;73;0;14;6;20;4;9;34120;42.432128,-4.520647
2020-03-27;Complejo Asistencial de Segovia;Segovia;34;185;3;25;30;92;7;44;40004;41.166667,-4.0
2020-03-27;Hospital de Medina del Campo;Valladolid;2;19;0;0;1;6;0;2;47186;41.583333,-4.666667
2020-03-27;Complejo Asistencial de Zamora;Zamora;9;59;2;12;3;27;3;12;49275;41.75,-6.0
2020-03-28;Complejo Asistencial Universitario de Burgos;Burgos;27;191;2;49;17;92;2;30;9059;42.383333,-3.666667
2020-03-28;Hospital Santiago Apóstol;Burgos;2;21;0;0;2;21;0;6;9059;42.383333,-3.666667
2020-03-28;Complejo Asistencial Universitario de León;León;37;337;6;32;19;85;10;63;24089;42.666667,-6.0
2020-03-28;Complejo Asistencial Universitario de Salamanca;Salamanca;71;341;7;40;34;131;14;84;37274;40.833333,-6.0
2020-03-28;Hospital Clínico Universitario de Valladolid;Valladolid;38;195;10;39;8;42;2;24;47186;41.583333,-4.666667
2020-03-29;Hospital Santos Reyes;Burgos;3;48;0;0;1;5;2;8;9059;42.383333,-3.666667
2020-03-29;Hospital El Bierzo;León;16;83;2;10;1;15;1;5;24089;42.666667,-6.0
2020-03-29;Complejo Asistencial Universitario de Salamanca;Salamanca;32;333;4;47;26;157;15;99;37274;40.833333,-6.0
2020-03-29;Hospital Universitario Río Hortega;Valladolid;20;205;0;37;9;72;8;26;47186;41.583333,-4.666667
2020-03-29;Complejo Asistencial de Zamora;Zamora;10;96;1;12;3;30;2;18;49275;41.75,-6.0
2020-03-30;Complejo Asistencial Universitario de León;León;23;374;9;43;15;118;9;81;24089;42.666667,-6.0
2020-03-31;Hospital El Bierzo;León;11;96;0;11;5;26;1;9;24089;42.666667,-6.0
2020-03-31;Hospital de Medina del Campo;Valladolid;6;28;0;0;1;10;1;4;47186;41.583333,-4.666667
2020-03-31;Hospital Universitario Río Hortega;Valladolid;41;240;3;39;26;112;6;39;47186;41.583333,-4.666667
2020-03-31;Complejo Asistencial de Zamora;Zamora;8;100;0;14;7;43;3;23;49275;41.75,-6.0
2020-04-01;Complejo Asistencial de Ávila;Ávila;31;164;2;17;21;132;5;59;5019;40.616092,-4.929031
2020-04-01;Complejo Asistencial Universitario de Burgos;Burgos;18;179;2;55;24;191;3;51;9059;42.383333,-3.666667
2020-04-01;Complejo Asistencial Universitario de León;León;26;379;1;42;32;182;6;97;24089;42.666667,-6.0
2020-04-01;Hospital El Bierzo;León;9;95;2;13;8;34;2;11;24089;42.666667,-6.0
2020-04-01;Complejo Asistencial Universitario de Palencia;Palencia;14;120;0;20;10;52;5;23;34120;42.432128,-4.520647
2020-04-01;Hospital Clínico Universitario de Valladolid;Valladolid;25;231;4;53;24;89;3;37;47186;41.583333,-4.666667
2020-04-01;Hospital Universitario Río Hortega;Valladolid;30;192;2;42;47;159;8;47;47186;41.583333,-4.666667
2020-04-02;Complejo Asistencial de Ávila;Ávila;30;161;0;16;19;151;5;64;5019;40.616092,-4.929031
2020-04-02;Complejo Asistencial Universitario de Burgos;Burgos;14;175;2;55;18;209;6;57;9059;42.383333,-3.666667
2020-04-02;Complejo Asistencial Universitario de Palencia;Palencia;15;129;0;20;7;59;1;24;34120;42.432128,-4.520647
2020-04-02;Hospital de Medina del Campo;Valladolid;10;31;0;0;3;17;1;6;47186;41.583333,-4.666667
2020-04-03;Complejo Asistencial Universitario de Palencia;Palencia;6;104;1;18;26;85;5;29;34120;42.432128,-4.520647
2020-04-03;Complejo Asistencial de Soria;Soria;12;155;3;20;16;111;3;49;42173;41.666667,-2.666667
2020-04-03;Hospital Universitario Río Hortega;Valladolid;21;169;0;51;26;222;4;55;47186;41.583333,-4.666667
2020-04-03;Complejo Asistencial de Zamora;Zamora;8;103;0;11;6;67;2;30;49275;41.75,-6.0
2020-04-04;Complejo Asistencial de Ávila;Ávila;28;178;0;15;35;205;3;69;5019;40.616092,-4.929031
2020-04-04;Hospital Santiago Apóstol;Burgos;2;25;0;0;3;41;0;11;9059;42.383333,-3.666667
2020-04-04;Complejo Asistencial de Segovia;Segovia;7;263;1;23;40;311;7;102;40004;41.166667,-4.0
2020-04-04;Complejo Asistencial de Soria;Soria;6;137;0;19;25;136;3;52;42173;41.666667,-2.666667
2020-04-04;Complejo Asistencial de Zamora;Zamora;25;112;2;12;16;83;5;35;49275;41.75,-6.0
2020-04-05;Complejo Asistencial Universitario de Burgos;Burgos;1;156;0;53;12;254;1;65;9059;42.383333,-3.666667
2020-04-05;Complejo Asistencial Universitario de Palencia;Palencia;7;110;0;19;7;111;5;36;34120;42.432128,-4.520647
2020-04-05;Complejo Asistencial Universitario de Salamanca;Salamanca;23;361;3;56;34;366;16;194;37274;40.833333,-6.0
2020-04-05;Complejo Asistencial de Zamora;Zamora;10;108;2;12;10;93;2;37;49275;41.75,-6.0
2020-04-06;Complejo Asistencial de Ávila;Ávila;18;197;0;13;11;225;6;79;5019;40.616092,-4.929031
2020-04-06;Complejo Asistencial Universitario de Burgos;Burgos;7;155;1;53;11;265;4;69;9059;42.383333,-3.666667
2020-04-06;Complejo Asistencial Universitario de León;León;14;251;0;39;41;413;9;162;24089;42.666667,-6.0
2020-04-06;Complejo Asistencial Universitario de Palencia;Palencia;8;118;0;19;3;114;3;39;34120;42.432128,-4.520647
2020-04-06;Hospital Clínico Universitario de Valladolid;Valladolid;18;258;4;53;9;195;8;73;47186;41.583333,-4.666667
2020-04-07;Complejo Asistencial Universitario de Burgos;Burgos;10;151;0;53;19;284;2;71;9059;42.383333,-3.666667
2020-04-07;Hospital Santiago Apóstol;Burgos;5;28;0;0;3;48;1;14;9059;42.383333,-3.666667
2020-04-07;Complejo Asistencial de Soria;Soria;0;113;0;21;8;172;0;64;42173;41.666667,-2.666667
2020-04-07;Hospital Clínico Universitario de Valladolid;Valladolid;11;239;1;50;33;228;4;77;47186;41.583333,-4.666667
2020-04-07;Hospital Universitario Río Hortega;Valladolid;13;148;0;48;29;295;3;66;47186;41.583333,-4.666667
2020-04-08;Hospital Santiago Apóstol;Burgos;5;29;0;0;4;52;1;15;9059;42.383333,-3.666667
2020-04-08;Hospital El Bierzo;León;3;65;1;11;6;106;3;29;24089;42.666667,-6.0
2020-04-08;Hospital Universitario Río Hortega;Valladolid;28;149;0;48;15;310;3;69;47186;41.583333,-4.666667
2020-04-09;Hospital Santiago Apóstol;Burgos;1;29;0;0;1;53;0;15;9059;42.383333,-3.666667
2020-04-09;Hospital Santos Reyes;Burgos;2;31;0;0;3;63;1;36;9059;42.383333,-3.666667
2020-04-10;Hospital Santiago Apóstol;Burgos;0;26;0;0;3;56;1;16;9059;42.383333,-3.666667
2020-04-10;Complejo Asistencial Universitario de Palencia;Palencia;8;102;0;19;9;162;2;44;34120;42.432128,-4.520647
2020-04-10;Complejo Asistencial de Segovia;Segovia;6;152;1;21;24;470;7;132;40004;41.166667,-4.0
2020-04-10;Hospital Clínico Universitario de Valladolid;Valladolid;15;208;2;48;27;325;4;95;47186;41.583333,-4.666667
2020-04-10;Complejo Asistencial de Zamora;Zamora;5;93;0;12;6;135;1;49;49275;41.75,-6.0
2020-04-11;Complejo Asistencial de Ávila;Ávila;14;126;0;12;22;347;1;94;5019;40.616092,-4.929031
2020-04-11;Complejo Asistencial Universitario de Burgos;Burgos;15;140;1;49;10;353;2;81;9059;42.383333,-3.666667
2020-04-11;Hospital Santos Reyes;Burgos;4;24;0;0;4;75;2;39;9059;42.383333,-3.666667
2020-04-11;Complejo Asistencial de Segovia;Segovia;16;140;0;23;20;490;7;139;40004;41.166667,-4.0
2020-04-11;Complejo Asistencial de Soria;Soria;9;104;0;20;9;228;0;80;42173;41.666667,-2.666667
2020-04-11;Hospital de Medina del Campo;Valladolid;4;27;2;3;7;47;0;12;47186;41.583333,-4.666667
2020-04-12;Complejo Asistencial Universitario de León;León;17;209;0;38;24;649;8;212;24089;42.666667,-6.0
2020-04-12;Complejo Asistencial Universitario de Palencia;Palencia;4;96;0;21;3;174;2;48;34120;42.432128,-4.520647
2020-04-13;Hospital Santiago Apóstol;Burgos;1;15;0;0;1;70;0;18;9059;42.383333,-3.666667
2020-04-13;Hospital Santos Reyes;Burgos;0;23;0;0;0;78;0;40;9059;42.383333,-3.666667
2020-04-13;Complejo Asistencial Universitario de Salamanca;Salamanca;15;289;1;44;20;627;6;258;37274;40.833333,-6.0
2020-04-13;Complejo Asistencial de Segovia;Segovia;24;150;0;20;22;530;5;151;40004;41.166667,-4.0
2020-04-13;Hospital Clínico Universitario de Valladolid;Valladolid;9;182;2;45;10;380;5;111;47186;41.583333,-4.666667
2020-04-13;Hospital Universitario Río Hortega;Valladolid;4;110;1;40;3;418;1;86;47186;41.583333,-4.666667
2020-04-13;Complejo Asistencial de Zamora;Zamora;4;75;1;12;7;162;2;53;49275;41.75,-6.0
2020-04-14;Complejo Asistencial Universitario de Burgos;Burgos;16;137;1;46;25;394;3;86;9059;42.383333,-3.666667
2020-04-14;Complejo Asistencial Universitario de León;León;15;191;0;36;36;710;7;224;24089;42.666667,-6.0
2020-04-14;Hospital de Medina del Campo;Valladolid;0;24;0;1;5;53;0;13;47186;41.583333,-4.666667
2020-04-15;Complejo Asistencial Universitario de León;León;12;178;0;37;39;749;7;231;24089;42.666667,-6.0
2020-04-16;Complejo Asistencial de Ávila;Ávila;9;94;0;11;15;417;3;107;5019;40.616092,-4.929031
2020-04-16;Hospital Santiago Apóstol;Burgos;0;11;0;0;2;77;0;22;9059;42.383333,-3.666667
2020-04-16;Hospital Santos Reyes;Burgos;0;15;0;0;5;89;1;42;9059;42.383333,-3.666667
2020-04-16;Complejo Asistencial Universitario de León;León;4;150;0;33;32;781;9;240;24089;42.666667,-6.0
2020-04-16;Complejo Asistencial Universitario de Salamanca;Salamanca;21;260;2;44;23;709;2;269;37274;40.833333,-6.0
2020-04-16;Complejo Asistencial de Soria;Soria;3;80;0;18;13;278;1;91;42173;41.666667,-2.666667
2020-04-16;Hospital Universitario Río Hortega;Valladolid;5;69;2;45;17;471;4;93;47186;41.583333,-4.666667
2020-04-17;Hospital Santiago Apóstol;Burgos;1;10;0;0;2;79;1;23;9059;42.383333,-3.666667
2020-04-17;Complejo Asistencial Universitario de León;León;4;142;0;33;31;812;1;241;24089;42.666667,-6.0
2020-04-17;Complejo Asistencial Universitario de Salamanca;Salamanca;20;257;1;44;24;733;4;273;37274;40.833333,-6.0
2020-04-17;Complejo Asistencial de Soria;Soria;1;76;0;17;7;285;1;92;42173;41.666667,-2.666667
2020-04-17;Hospital de Medina del Campo;Valladolid;1;11;0;1;0;64;2;16;47186;41.583333,-4.666667
2020-04-18;Complejo Asistencial Universitario de Burgos;Burgos;11;131;1;39;11;448;1;95;9059;42.383333,-3.666667
2020-04-18;Complejo Asistencial Universitario de León;León;4;141;0;33;24;836;1;242;24089;42.666667,-6.0
2020-04-18;Complejo Asistencial de Segovia;Segovia;7;120;0;18;14;636;6;167;40004;41.166667,-4.0
2020-04-18;Complejo Asistencial de Soria;Soria;2;72;0;16;8;293;2;94;42173;41.666667,-2.666667
2020-04-18;Complejo Asistencial de Zamora;Zamora;6;72;1;12;13;210;2;63;49275;41.75,-6.0
2020-04-19;Complejo Asistencial de Ávila;Ávila;2;95;0;9;1;447;0;107;5019;40.616092,-4.929031
2020-04-19;Hospital Santiago Apóstol;Burgos;1;17;0;0;1;82;1;24;9059;42.383333,-3.666667
2020-04-19;Complejo Asistencial Universitario de León;León;3;136;1;33;27;863;6;248;24089;42.666667,-6.0
2020-04-19;Complejo Asistencial Universitario de Palencia;Palencia;5;67;0;21;1;221;1;59;34120;42.432128,-4.520647
2020-04-20;Hospital Santiago Apóstol;Burgos;0;17;0;0;0;82;0;24;9059;42.383333,-3.666667
2020-04-20;Hospital El Bierzo;León;0;32;0;7;2;199;1;50;24089;42.666667,-6.0
2020-04-20;Complejo Asistencial Universitario de Salamanca;Salamanca;5;253;0;36;13;794;5;287;37274;40.833333,-6.0
2020-04-20;Hospital Universitario Río Hortega;Valladolid;3;94;1;37;5;497;2;103;47186;41.583333,-4.666667
2020-04-21;Complejo Asistencial de Soria;Soria;2;72;0;16;6;305;1;97;42173;41.666667,-2.666667
2020-04-21;Complejo Asistencial de Zamora;Zamora;2;70;0;10;7;226;1;66;49275;41.75,-6.0
2020-04-22;Hospital Santiago Apóstol;Burgos;3;16;0;0;2;86;0;24;9059;42.383333,-3.666667
2020-04-22;Hospital Santos Reyes;Burgos;1;12;0;0;1;96;0;42;9059;42.383333,-3.666667
2020-04-22;Hospital El Bierzo;León;5;32;0;7;9;216;4;59;24089;42.666667,-6.0
2020-04-22;Hospital Universitario Río Hortega;Valladolid;6;75;0;35;15;523;2;107;47186;41.583333,-4.666667
2020-04-24;Complejo Asistencial de Ávila;Ávila;3;62;0;7;5;513;1;119;5019;40.616092,-4.929031
2020-04-24;Hospital El Bierzo;León;2;31;0;7;1;226;0;61;24089;42.666667,-6.0
2020-04-24;Complejo Asistencial Universitario de Salamanca;Salamanca;14;212;0;32;27;894;8;306;37274;40.833333,-6.0
2020-04-24;Hospital Clínico Universitario de Valladolid;Valladolid;2;115;0;25;6;567;3;153;47186;41.583333,-4.666667
2020-04-25;Complejo Asistencial Universitario de Burgos;Burgos;8;99;0;29;14;534;5;114;9059;42.383333,-3.666667
2020-04-25;Hospital Santiago Apóstol;Burgos;1;19;0;0;0;90;0;24;9059;42.383333,-3.666667
2020-04-25;Hospital Santos Reyes;Burgos;0;6;0;0;5;104;0;42;9059;42.383333,-3.666667
2020-04-25;Complejo Asistencial Universitario de Salamanca;Salamanca;13;198;2;34;25;919;1;307;37274;40.833333,-6.0
2020-04-26;Hospital Santos Reyes;Burgos;0;6;0;0;0;104;0;42;9059;42.383333,-3.666667
2020-04-27;Hospital El Bierzo;León;2;24;0;7;2;236;2;65;24089;42.666667,-6.0
2020-04-27;Complejo Asistencial de Soria;Soria;3;56;1;15;2;328;2;107;42173;41.666667,-2.666667
2020-04-27;Hospital Clínico Universitario de Valladolid;Valladolid;4;107;0;20;3;596;2;159;47186;41.583333,-4.666667
2020-04-28;Complejo Asistencial Universitario de León;León;12;84;0;24;22;1067;4;287;24089;42.666667,-6.0
2020-04-29;Hospital Santos Reyes;Burgos;1;5;0;0;2;106;0;42;9059;42.383333,-3.666667
2020-04-29;Complejo Asistencial de Zamora;Zamora;4;50;0;12;2;273;0;75;49275;41.75,-6.0
2020-04-30;Complejo Asistencial Universitario de León;León;5;81;0;24;17;1119;3;293;24089;42.666667,-6.0
2020-04-30;Hospital El Bierzo;León;3;20;0;6;4;249;0;67;24089;42.666667,-6.0
2020-05-01;Complejo Asistencial de Zamora;Zamora;4;46;0;10;2;285;0;77;49275;41.75,-6.0
2020-05-02;Hospital Santiago Apóstol;Burgos;2;13;0;0;2;106;1;31;9059;42.383333,-3.666667
2020-05-02;Complejo Asistencial de Segovia;Segovia;0;74;0;6;9;788;0;195;40004;41.166667,-4.0
2020-05-02;Complejo Asistencial de Soria;Soria;0;43;0;12;2;353;1;112;42173;41.666667,-2.666667
2020-05-02;Hospital Clínico Universitario de Valladolid;Valladolid;0;87;1;18;2;647;1;168;47186;41.583333,-4.666667
2020-05-02;Complejo Asistencial de Zamora;Zamora;0;46;0;10;0;285;0;77;49275;41.75,-6.0
2020-05-03;Hospital Clínico Universitario de Valladolid;Valladolid;1;88;0;15;4;651;4;172;47186;41.583333,-4.666667
2020-05-03;Hospital de Medina del Campo;Valladolid;0;15;0;0;0;91;0;22;47186;41.583333,-4.666667
2020-05-04;Complejo Asistencial Universitario de Salamanca;Salamanca;6;127;1;26;10;1050;1;335;37274;40.833333,-6.0
2020-05-04;Complejo Asistencial de Soria;Soria;0;46;0;12;0;355;0;113;42173;41.666667,-2.666667
2020-05-05;Hospital Santos Reyes;Burgos;1;6;0;0;0;107;0;43;9059;42.383333,-3.666667
2020-05-05;Complejo Asistencial de Segovia;Segovia;2;74;0;7;5;802;0;195;40004;41.166667,-4.0
2020-05-05;Complejo Asistencial de Zamora;Zamora;1;45;0;8;2;288;0;78;49275;41.75,-6.0
2020-05-06;Hospital Santiago Apóstol;Burgos;0;11;0;0;2;112;0;32;9059;42.383333,-3.666667
2020-05-06;Complejo Asistencial de Segovia;Segovia;1;68;0;8;11;813;0;195;40004;41.166667,-4.0
2020-05-07;Complejo Asistencial Universitario de Burgos;Burgos;2;53;0;21;8;622;1;127;9059;42.383333,-3.666667
2020-05-07;Hospital Santos Reyes;Burgos;1;6;0;0;1;108;0;43;9059;42.383333,-3.666667
2020-05-07;Complejo Asistencial de Zamora;Zamora;1;35;0;7;1;300;0;81;49275;41.75,-6.0
2020-05-08;Complejo Asistencial Universitario de Burgos;Burgos;2;47;0;20;11;633;1;128;9059;42.383333,-3.666667
2020-05-08;Complejo Asistencial Universitario de León;León;5;66;0;16;17;1235;1;321;24089;42.666667,-6.0
2020-05-08;Hospital El Bierzo;León;1;10;0;4;1;267;0;70;24089;42.666667,-6.0
2020-05-08;Complejo Asistencial Universitario de Palencia;Palencia;1;25;1;11;7;310;1;78;34120;42.432128,-4.520647
2020-05-08;Complejo Asistencial Universitario de Salamanca;Salamanca;5;95;0;24;13;1102;2;344;37274;40.833333,-6.0
2020-05-08;Hospital de Medina del Campo;Valladolid;2;14;0;0;3;102;1;24;47186;41.583333,-4.666667
2020-05-08;Hospital Universitario Río Hortega;Valladolid;5;38;1;21;13;664;0;142;47186;41.583333,-4.666667
2020-05-09;Complejo Asistencial Universitario de Burgos;Burgos;0;40;0;19;8;641;1;129;9059;42.383333,-3.666667
2020-05-09;Hospital El Bierzo;León;0;7;0;4;3;270;0;70;24089;42.666667,-6.0
2020-05-09;Complejo Asistencial Universitario de Palencia;Palencia;2;22;0;10;5;315;2;80;34120;42.432128,-4.520647
2020-05-10;Complejo Asistencial Universitario de Salamanca;Salamanca;2;96;1;18;5;1124;1;347;37274;40.833333,-6.0
2020-05-11;Complejo Asistencial Universitario de Palencia;Palencia;0;23;0;10;0;315;0;80;34120;42.432128,-4.520647
2020-05-12;Complejo Asistencial de Ávila;Ávila;0;19;0;6;6;608;1;132;5019;40.616092,-4.929031
2020-05-12;Hospital Santos Reyes;Burgos;0;4;0;0;1;109;0;43;9059;42.383333,-3.666667
2020-05-12;Hospital Clínico Universitario de Valladolid;Valladolid;5;58;0;11;7;713;0;180;47186;41.583333,-4.666667
2020-05-12;Hospital Universitario Río Hortega;Valladolid;5;36;0;19;6;688;0;147;47186;41.583333,-4.666667
2020-05-13;Complejo Asistencial Universitario de Salamanca;Salamanca;2;72;0;16;11;1157;2;353;37274;40.833333,-6.0
2020-05-14;Complejo Asistencial Universitario de León;León;1;36;0;12;12;1301;1;330;24089;42.666667,-6.0
2020-05-14;Complejo Asistencial Universitario de Palencia;Palencia;2;16;0;7;2;324;0;80;34120;42.432128,-4.520647
2020-05-15;Hospital El Bierzo;León;0;8;0;1;3;277;0;71;24089;42.666667,-6.0
2020-05-15;Complejo Asistencial de Zamora;Zamora;1;23;0;5;2;319;0;85;49275;41.75,-6.0
2020-05-16;Complejo Asistencial de Ávila;Ávila;0;16;0;6;5;623;0;133;5019;40.616092,-4.929031
2020-05-16;Complejo Asistencial de Segovia;Segovia;0;41;0;3;7;868;1;201;40004;41.166667,-4.0
2020-05-16;Hospital de Medina del Campo;Valladolid;1;7;0;0;0;114;0;25;47186;41.583333,-4.666667
2020-05-17;Complejo Asistencial Universitario de Burgos;Burgos;1;32;0;11;1;665;0;130;9059;42.383333,-3.666667
2020-05-17;Hospital Santos Reyes;Burgos;0;3;0;0;0;111;0;43;9059;42.383333,-3.666667
2020-05-17;Complejo Asistencial Universitario de León;León;2;32;0;12;4;1350;2;336;24089;42.666667,-6.0
2020-05-17;Hospital El Bierzo;León;0;6;0;1;0;279;0;71;24089;42.666667,-6.0
2020-05-20;Complejo Asistencial de Zamora;Zamora;0;19;0;4;2;325;0;85;49275;41.75,-6.0
2020-05-21;Complejo Asistencial de Ávila;Ávila;1;12;0;4;4;632;1;134;5019;40.616092,-4.929031
2020-05-21;Complejo Asistencial de Soria;Soria;1;20;0;6;1;400;0;119;42173;41.666667,-2.666667
2020-05-21;Hospital Clínico Universitario de Valladolid;Valladolid;1;43;0;7;3;759;1;187;47186;41.583333,-4.666667
2020-05-25;Complejo Asistencial Universitario de Burgos;Burgos;0;17;0;5;0;685;0;132;9059;42.383333,-3.666667
2020-05-25;Hospital Santos Reyes;Burgos;0;4;0;0;0;112;0;43;9059;42.383333,-3.666667
2020-05-25;Hospital El Bierzo;León;0;1;0;1;0;285;0;72;24089;42.666667,-6.0
2020-05-25;Complejo Asistencial de Soria;Soria;0;22;0;6;0;402;0;119;42173;41.666667,-2.666667
2020-05-26;Complejo Asistencial de Ávila;Ávila;1;9;0;4;6;644;1;137;5019;40.616092,-4.929031
2020-05-26;Complejo Asistencial Universitario de Burgos;Burgos;1;14;0;5;5;690;0;132;9059;42.383333,-3.666667
2020-05-26;Hospital Santiago Apóstol;Burgos;0;1;0;0;0;129;0;33;9059;42.383333,-3.666667
2020-05-26;Hospital Santos Reyes;Burgos;0;4;0;0;0;112;0;43;9059;42.383333,-3.666667
2020-05-27;Hospital Santiago Apóstol;Burgos;0;1;0;0;0;129;0;33;9059;42.383333,-3.666667
2020-05-27;Hospital Santos Reyes;Burgos;1;5;0;0;0;112;0;43;9059;42.383333,-3.666667
2020-05-28;Hospital Santiago Apóstol;Burgos;0;2;0;0;0;129;0;33;9059;42.383333,-3.666667
2020-05-28;Complejo Asistencial Universitario de León;León;0;9;0;6;8;1424;1;347;24089;42.666667,-6.0
2020-05-28;Hospital Clínico Universitario de Valladolid;Valladolid;1;29;0;5;2;775;0;189;47186;41.583333,-4.666667
2020-05-29;Hospital Santiago Apóstol;Burgos;0;1;0;0;1;130;0;33;9059;42.383333,-3.666667
2020-05-29;Complejo Asistencial Universitario de León;León;1;10;0;6;4;1428;1;348;24089;42.666667,-6.0
2020-05-29;Hospital El Bierzo;León;0;0;0;1;0;286;0;72;24089;42.666667,-6.0
2020-05-29;Complejo Asistencial Universitario de Palencia;Palencia;0;9;0;2;4;348;0;84;34120;42.432128,-4.520647
2020-05-29;Complejo Asistencial Universitario de Salamanca;Salamanca;0;23;0;6;5;1232;0;363;37274;40.833333,-6.0
2020-05-29;Complejo Asistencial de Segovia;Segovia;0;16;1;3;0;894;0;203;40004;41.166667,-4.0
